ROS Time,Behaviour
02:53: 43,Spinning
02:53: 48,Spinning
02:54: 19,Pausing
02:54: 24,Pausing
02:54: 54,Spinning
02:54: 59,Spinning
02:55: 03,Pausing
02:55: 08,Pausing
02:55: 12,Spinning
02:55: 17,Spinning
02:55: 29,Spinning
02:55: 34,Spinning
02:55: 35,Spinning
02:55: 40,Spinning
02:55: 49,Pausing
02:55: 54,Pausing
02:56: 30,Pausing
02:56: 35,Pausing
02:56: 40,Pausing
02:56: 45,Pausing
02:56: 49,Spinning
02:56: 54,Spinning
02:58: 00,Pausing
02:58: 05,Pausing
02:59: 14,Spinning
02:59: 19,Spinning
02:59: 22,Pausing
02:59: 27,Pausing
02:59: 29,Pausing
02:59: 34,Pausing
03:01: 18,Spinning
03:01: 23,Spinning
03:01: 24,Spinning
03:01: 29,Spinning
