ROS Time,Behaviour
02:54: 15,Pausing
02:54: 20,Pausing
02:54: 21,Pausing
02:54: 26,Pausing
02:54: 26,Spinning
02:54: 31,Spinning
02:54: 31,Pausing
02:54: 36,Pausing
02:54: 36,Spinning
02:54: 41,Spinning
02:54: 46,Pausing
02:54: 51,Pausing
02:54: 51,Pausing
02:54: 56,Pausing
02:54: 56,Spinning
02:55: 01,Spinning
02:55: 28,Spinning
02:55: 33,Spinning
02:55: 44,Pausing
02:55: 49,Pausing
02:55: 59,Spinning
02:56: 04,Spinning
02:56: 08,Spinning
02:56: 13,Spinning
02:56: 13,Spinning
02:56: 18,Spinning
02:56: 23,Pausing
02:56: 28,Pausing
02:56: 28,Spinning
02:56: 33,Spinning
02:56: 40,Pausing
02:56: 45,Pausing
02:56: 57,Spinning
02:57: 02,Spinning
02:57: 05,Pausing
02:57: 10,Pausing
02:57: 11,Pausing
02:57: 16,Pausing
02:57: 35,Spinning
02:57: 40,Spinning
02:57: 40,Pausing
02:57: 45,Pausing
02:57: 55,Spinning
02:58: 00,Spinning
02:58: 00,Pausing
02:58: 05,Pausing
02:58: 05,Spinning
02:58: 10,Spinning
02:58: 13,Spinning
02:58: 18,Spinning
02:58: 18,Spinning
02:58: 23,Spinning
02:58: 40,Pausing
02:58: 45,Pausing
03:01: 32,Pausing
03:01: 37,Pausing
03:01: 41,Spinning
03:01: 46,Spinning
03:01: 48,Spinning
03:01: 53,Spinning
03:02: 10,Spinning
03:02: 15,Spinning
03:02: 28,Pausing
03:02: 33,Pausing
03:02: 44,Spinning
03:02: 49,Spinning
03:02: 58,Pausing
03:03: 03,Pausing
03:03: 12,Spinning
03:03: 17,Spinning
03:03: 31,Pausing
03:03: 36,Pausing
03:03: 39,Pausing
03:03: 44,Pausing
03:03: 45,Spinning
03:03: 50,Spinning
