ROS Time,Behaviour
02:53: 48,Pausing
02:53: 53,Pausing
02:54: 01,Spinning
02:54: 06,Spinning
02:54: 06,Pausing
02:54: 11,Pausing
02:54: 24,Spinning
02:54: 29,Spinning
02:54: 53,Spinning
02:54: 58,Spinning
02:54: 58,Pausing
02:55: 03,Pausing
02:55: 04,Spinning
02:55: 09,Spinning
02:55: 09,Pausing
02:55: 14,Pausing
02:55: 14,Spinning
02:55: 19,Spinning
02:55: 19,Pausing
02:55: 24,Pausing
02:55: 24,Pausing
02:55: 29,Pausing
02:55: 29,Spinning
02:55: 34,Spinning
02:55: 34,Pausing
02:55: 39,Pausing
02:55: 39,Spinning
02:55: 44,Spinning
02:55: 45,Pausing
02:55: 50,Pausing
02:55: 50,Spinning
02:55: 55,Spinning
02:55: 55,Spinning
02:56: 00,Spinning
