ROS Time,Behaviour
02:53: 45,Pausing
02:53: 50,Pausing
02:54: 19,Pausing
02:54: 24,Pausing
02:54: 25,Pausing
02:54: 30,Pausing
02:54: 30,Pausing
02:54: 35,Pausing
02:54: 35,Pausing
02:54: 40,Pausing
02:54: 40,Spinning
02:54: 45,Spinning
02:54: 51,Spinning
02:54: 56,Spinning
02:55: 07,Pausing
02:55: 12,Pausing
02:55: 32,Spinning
02:55: 37,Spinning
02:55: 39,Spinning
02:55: 44,Spinning
02:55: 44,Pausing
02:55: 49,Pausing
02:56: 00,Spinning
02:56: 05,Spinning
02:56: 14,Pausing
02:56: 19,Pausing
02:56: 36,Spinning
02:56: 41,Spinning
02:56: 54,Pausing
02:56: 59,Pausing
02:57: 07,Pausing
02:57: 12,Pausing
02:57: 14,Spinning
02:57: 19,Spinning
02:57: 26,Spinning
02:57: 31,Spinning
02:57: 31,Pausing
02:57: 36,Pausing
02:57: 37,Spinning
02:57: 42,Spinning
02:57: 46,Pausing
02:57: 51,Pausing
02:57: 52,Spinning
02:57: 57,Spinning
02:57: 57,Spinning
02:58: 02,Spinning
02:58: 06,Pausing
02:58: 11,Pausing
02:58: 11,Spinning
02:58: 16,Spinning
02:58: 16,Pausing
02:58: 21,Pausing
02:58: 24,Pausing
02:58: 29,Pausing
02:58: 30,Pausing
02:58: 35,Pausing
02:58: 36,Pausing
02:58: 41,Pausing
02:58: 44,Spinning
02:58: 49,Spinning
02:58: 49,Spinning
02:58: 54,Spinning
02:59: 08,Pausing
02:59: 13,Pausing
02:59: 21,Spinning
02:59: 26,Spinning
02:59: 38,Spinning
02:59: 43,Spinning
02:59: 50,Spinning
02:59: 55,Spinning
03:00: 14,Pausing
03:00: 19,Pausing
03:00: 19,Spinning
03:00: 24,Spinning
03:00: 35,Pausing
03:00: 40,Pausing
03:00: 41,Spinning
03:00: 46,Spinning
03:00: 46,Spinning
03:00: 51,Spinning
03:00: 56,Spinning
03:01: 01,Spinning
03:01: 01,Pausing
03:01: 06,Pausing
03:01: 12,Spinning
03:01: 17,Spinning
03:01: 17,Pausing
03:01: 22,Pausing
03:01: 34,Pausing
03:01: 39,Pausing
03:01: 41,Pausing
03:01: 46,Pausing
03:01: 46,Pausing
03:01: 51,Pausing
03:01: 51,Pausing
03:01: 56,Pausing
03:02: 06,Spinning
03:02: 11,Spinning
